Data,pm25_Target_Real_Daily_Avg,pm25_Prediction_Daily_Avg
2023-12-09,5.128,5.972484387370131
2023-12-10,5.69,5.530007915899014
2023-12-11,4.482,5.939616613153337
2023-12-12,7.272,7.306091953864308
2023-12-13,4.23,6.222403895261361
2023-12-14,7.18,6.9922754624837875
2023-12-15,5.497,6.185784941598588
2023-12-16,5.479,6.357339945266265
2023-12-17,6.586,7.329043842564283
2023-12-18,3.398,5.596514277763873
2023-12-19,5.386,7.340334502183373
2023-12-20,6.563,7.335960881844537
2023-12-21,8.12,7.8584927737135715
2023-12-22,5.579,6.034235863744599
2023-12-23,5.409,5.997246469289985
2023-12-24,5.719,5.529474884539061
2023-12-25,5.966,6.071592546577231
2023-12-26,5.428,6.304680159031004
2023-12-27,5.734,6.1613300913566516
2023-12-28,4.248,5.4946294370761
2023-12-29,6.601,6.2276081444754094
