epoch,train_recon_loss,train_vq_loss,train_total_loss,val_recon_loss,val_vq_loss,val_total_loss,learning_rate
128,0.107512,0.032213,0.139725,0.107784,0.032600,0.140384,0.001000
129,0.107657,0.032284,0.139941,0.107731,0.032476,0.140207,0.001000
130,0.107713,0.032356,0.140069,0.107530,0.031888,0.139417,0.001000
131,0.107765,0.032347,0.140112,0.107668,0.032855,0.140523,0.001000
132,0.107746,0.032400,0.140146,0.107834,0.032748,0.140582,0.001000
133,0.107639,0.032901,0.140540,0.107505,0.033468,0.140973,0.001000
134,0.107182,0.033289,0.140471,0.107121,0.033286,0.140407,0.001000
135,0.106998,0.033477,0.140475,0.107079,0.033536,0.140615,0.001000
136,0.107005,0.033655,0.140659,0.107164,0.034012,0.141176,0.001000
137,0.107068,0.033770,0.140838,0.107065,0.033950,0.141015,0.001000
138,0.107061,0.033864,0.140925,0.106974,0.034339,0.141313,0.001000
139,0.107025,0.033923,0.140948,0.107144,0.034016,0.141159,0.001000
140,0.107147,0.033841,0.140988,0.107234,0.034028,0.141262,0.001000
141,0.107077,0.033868,0.140946,0.107181,0.033548,0.140730,0.001000
142,0.107075,0.033779,0.140854,0.107131,0.033588,0.140719,0.001000
143,0.107074,0.033829,0.140903,0.107209,0.034275,0.141483,0.001000
144,0.107055,0.033928,0.140983,0.107088,0.033930,0.141017,0.001000
145,0.107085,0.033991,0.141077,0.107206,0.034769,0.141975,0.001000
146,0.107146,0.033904,0.141050,0.107276,0.033732,0.141008,0.001000
147,0.107164,0.033872,0.141035,0.107279,0.034305,0.141584,0.001000
148,0.107125,0.033819,0.140944,0.107412,0.034426,0.141838,0.001000
149,0.107178,0.033791,0.140969,0.107401,0.033496,0.140897,0.001000
150,0.107263,0.033691,0.140953,0.107294,0.034002,0.141296,0.001000
