34_10,folder,dists<better,psnr,ssim,REL_dists>better,REL_psnr,REL_ssim,,,,,,,,,,,,
super_pretrain,test_zeroshotmovie_super_compact_10_x2_pretrain,0.0638,37.4825,0.94,-0.0638,37.4825,0.94,,,,,,,,,,,,
mega_pretrain,test_zeroshomovie_mega_compact_10_x2_pretrain,0.1952,30.6663,0.7568,-0.1952,30.6663,0.7568,,,,,,,,,,,,
ultra_pretrain,test_zeroshotmovie_ultra_compact_10_x2_pretrain,0.0387,38.9949,0.9493,-0.0387,38.9949,0.9493,,,,,,,,,,,,
super,,,,,0,0,0,,,,,,,,,,,,
mega,,,,,0,0,0,,,,,,,,,,,,
ultra,,,,,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
28i_x2,,,,,,,,,,,,,,,,,,,
baseline,,,,,,,,,,,,,,,,,,,
super_pretrain,,,,,0,0,0,,,,,,,,,,,,
mega_pretrain,,,,,0,0,0,,,,,,,,,,,,
ultra_pretrain,,,,,0,0,0,,,,,,,,,,,,
super,,,,,0,0,0,,,,,,,,,,,,
mega,,,,,0,0,0,,,,,,,,,,,,
ultra,,,,,0,0,0,,,,,,,,,,,,
